srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.75,10.10.240.104,52932,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.123,47378,2181,['tcp']
10.22.16.33,10.10.240.125,40687,48533,['tcp']
10.22.16.33,10.10.240.125,36774,58625,['tcp']
10.22.30.51,10.10.240.142,42450,9092,['tcp']
10.22.30.51,10.10.240.143,48698,9092,['tcp']
10.22.16.10,10.10.240.103,0,0,['icmp']
10.22.16.33,10.10.240.125,37182,58625,['tcp']
10.22.16.33,10.10.240.125,35307,48533,['tcp']
10.22.16.33,10.10.240.125,35908,58625,['tcp']
10.22.16.237,10.10.240.104,43940,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,35910,58625,['tcp']
10.22.16.33,10.10.240.125,36526,58625,['tcp']
10.22.16.33,10.10.240.125,36532,58625,['tcp']
10.22.16.33,10.10.240.125,36534,58625,['tcp']
10.22.16.33,10.10.240.125,36536,58625,['tcp']
10.22.16.33,10.10.240.125,59091,48533,['tcp']
10.22.16.33,10.10.240.125,36542,58625,['tcp']
10.22.30.51,10.10.240.142,42442,9092,['tcp']
10.22.16.33,10.10.240.125,35932,58625,['tcp']
10.22.16.33,10.10.240.125,36546,58625,['tcp']
10.22.16.33,10.10.240.125,33901,48533,['tcp']
10.22.16.33,10.10.240.125,36788,58625,['tcp']
10.22.16.33,10.10.240.125,36790,58625,['tcp']
10.22.16.33,10.10.240.125,37190,58625,['tcp']
10.22.25.81,10.10.240.99,40642,8086,['tcp']
10.22.16.33,10.10.240.125,37192,58625,['tcp']
10.22.16.33,10.10.240.125,37198,58625,['tcp']
10.22.16.33,10.10.240.125,36808,58625,['tcp']
10.22.16.33,10.10.240.125,40732,48533,['tcp']
10.22.16.33,10.10.240.125,37212,58625,['tcp']
10.22.16.33,10.10.240.125,36671,48533,['tcp']
10.22.16.33,10.10.240.125,37218,58625,['tcp']
10.22.16.33,10.10.240.125,36824,58625,['tcp']
10.22.16.33,10.10.240.125,36826,58625,['tcp']
10.22.16.33,10.10.240.125,37830,58625,['tcp']
10.22.16.33,10.10.240.125,37836,58625,['tcp']
10.22.16.33,10.10.240.125,57792,48533,['tcp']
10.22.16.33,10.10.240.125,32868,48533,['tcp']
10.22.16.33,10.10.240.125,37846,58625,['tcp']
10.22.16.33,10.10.240.125,37848,58625,['tcp']
10.22.16.33,10.10.240.125,48313,48533,['tcp']
10.22.25.81,10.10.240.99,40720,8086,"['tcp', 'http']"
10.22.16.33,10.10.240.125,37670,58625,['tcp']
10.22.16.33,10.10.240.125,37232,58625,['tcp']
10.22.16.33,10.10.240.125,37676,58625,['tcp']
10.22.16.33,10.10.240.125,41579,48533,['tcp']
10.22.16.33,10.10.240.125,37238,58625,['tcp']
10.22.16.33,10.10.240.125,37690,58625,['tcp']
10.22.30.51,10.10.240.142,42450,9092,['tcp']
10.22.30.51,10.10.240.143,48698,9092,['tcp']
10.22.16.33,10.10.240.125,37708,58625,['tcp']
10.22.16.237,10.10.240.104,60384,12834,['tcp']
10.22.16.33,10.10.240.125,37710,58625,['tcp']
10.22.16.10,10.10.240.254,0,0,['icmp']
10.22.16.33,10.10.240.125,37712,58625,['tcp']
10.22.16.33,10.10.240.125,45229,48533,['tcp']
10.22.16.33,10.10.240.125,37770,58625,['tcp']
10.22.16.33,10.10.240.125,37364,58625,['tcp']
10.22.16.33,10.10.240.125,37778,58625,['tcp']
10.22.16.10,10.10.240.103,0,0,['icmp']
10.22.16.33,10.10.240.125,37790,58625,['tcp']
10.22.16.237,10.10.240.104,58488,12834,"['tcp', 'http2']"
10.22.16.75,10.10.240.104,41550,12834,"['tcp', 'http2']"
10.22.16.75,10.10.240.104,58788,12834,"['tcp', 'http2']"
10.22.25.81,10.10.240.99,40712,8086,"['tcp', 'http']"
10.22.16.33,10.10.240.125,37800,58625,['tcp']
10.22.16.33,10.10.240.125,37388,58625,['tcp']
10.22.25.81,10.10.240.99,40760,8086,"['tcp', 'http']"
10.22.16.33,10.10.240.125,51822,48533,['tcp']
10.22.16.33,10.10.240.125,37802,58625,['tcp']
10.22.16.33,10.10.240.125,54479,48533,['tcp']
10.22.16.33,10.10.240.125,37400,58625,['tcp']
10.22.16.33,10.10.240.125,34452,48533,['tcp']
10.22.16.33,10.10.240.125,37814,58625,['tcp']
10.22.16.33,10.10.240.125,37820,58625,['tcp']
10.22.16.33,10.10.240.125,37714,58625,['tcp']
10.22.16.33,10.10.240.125,50224,48533,['tcp']
10.22.16.33,10.10.240.125,37519,48533,['tcp']
10.22.16.33,10.10.240.125,37320,58625,['tcp']
10.22.16.33,10.10.240.125,38789,48533,['tcp']
10.22.16.33,10.10.240.125,37740,58625,['tcp']
10.22.16.33,10.10.240.125,49169,48533,['tcp']
10.22.16.33,10.10.240.125,37742,58625,['tcp']
10.22.16.33,10.10.240.125,37744,58625,['tcp']
10.22.16.10,10.10.240.103,0,0,['icmp']
10.22.16.33,10.10.240.125,37750,58625,['tcp']
10.22.16.33,10.10.240.125,37636,58625,['tcp']
10.22.16.33,10.10.240.125,37202,58625,['tcp']
10.22.16.33,10.10.240.125,37664,58625,['tcp']
10.22.16.33,10.10.240.125,52528,48533,['tcp']
10.22.16.33,10.10.240.125,47957,48533,['tcp']
10.22.16.33,10.10.240.125,37614,58625,['tcp']
10.22.16.33,10.10.240.125,37616,58625,['tcp']
10.22.30.51,10.10.240.142,42442,9092,['tcp']
10.22.16.33,10.10.240.125,37178,58625,['tcp']
10.22.16.237,10.10.240.104,48848,12834,['tcp']
10.22.16.33,10.10.240.125,54591,48533,['tcp']
10.22.16.33,10.10.240.125,37624,58625,['tcp']
10.22.16.33,10.10.240.125,37745,48533,['tcp']
10.22.16.33,10.10.240.125,54524,48533,['tcp']
10.22.16.33,10.10.240.125,37348,58625,['tcp']
10.22.16.33,10.10.240.125,37360,58625,['tcp']
10.22.16.33,10.10.240.125,42116,48533,['tcp']
10.22.16.33,10.10.240.125,37366,58625,['tcp']
